SID	num_tg	tg_width	tg_height	tg_w_div_h
TE0003905	153841	542	388	13.96907216
TE0003906	206642	467	536	8.712686567
TE0003907	184313	423	553	7.649186257
TE0003908	264547	561	613	9.151712887
TE0003909	178589	481	447	10.7606264
TE0003910	111685	437	350	12.48571429
TE0003911	136040	384	464	8.275862069
TE0003912	146148	459	432	10.625
TE0003913	147622	488	369	13.22493225
TE0003914	122967	464	355	13.07042254
TE0003915	144072	406	449	9.042316258
TE0003916	136802	525	363	14.46280992
TE0003917	246736	506	617	8.200972447
TE0003918	115057	410	356	11.51685393
TE0003919	170846	473	456	10.37280702
TE0003920	223851	483	581	8.313253012
TE0003921	167376	560	400	14
TE0003922	166108	582	372	15.64516129
TE0003923	179106	494	466	10.60085837
TE0003924	193126	527	492	10.71138211
TE0003925	207623	512	516	9.92248062
TE0003926	200213	498	542	9.188191882
TE0003927	207190	522	485	10.7628866
TE0003928	180143	437	549	7.95992714
TE0003929	199728	557	447	12.46085011
TE0003930	182442	487	472	10.31779661
TE0003931	145801	498	400	12.45
TE0003932	158471	456	424	10.75471698
TE0003933	137811	443	398	11.13065327
TE0003934	162096	469	439	10.6833713
TE0003935	186077	514	464	11.07758621
TE0003936	153550	467	516	9.050387597
TE0003937	121467	420	355	11.83098592
TE0003938	179329	547	434	12.60368664
TE0003939	173794	450	527	8.538899431
TE0003940	196041	500	494	10.12145749
TE0003941	173814	461	476	9.68487395
TE0003942	184247	497	521	9.539347409
TE0003943	182332	510	473	10.78224101
TE0003944	296435	586	690	8.492753623
TE0003945	298354	583	642	9.080996885
TE0003946	184057	475	487	9.753593429
TE0003947	153202	442	446	9.910313901
TE0003948	102740	409	371	11.02425876
TE0003949	169409	451	499	9.038076152
TE0003950	143588	512	338	15.14792899
TE0003951	173911	451	450	10.02222222
TE0003952	136926	426	417	10.21582734
TE0003953	161313	545	394	13.83248731
TE0003954	162253	431	483	8.923395445
TE0003955	185507	481	485	9.917525773
TE0003956	230702	491	614	7.996742671
TE0003957	198392	541	457	11.8380744
TE0003958	172762	440	534	8.239700375
TE0003959	253135	525	623	8.426966292
TE0003960	128129	506	338	14.9704142
TE0003961	224813	508	573	8.865619546
TE0003962	148737	404	455	8.879120879
TE0003963	124717	447	370	12.08108108
TE0003964	208287	495	598	8.277591973
TE0003965	149900	454	394	11.52284264
TE0003966	183116	489	487	10.04106776
TE0003967	258147	539	577	9.341421144
TE0003968	198236	522	493	10.58823529
TE0003969	107644	503	278	18.09352518
TE0003970	151938	440	485	9.072164948
TE0003971	125437	352	443	7.945823928
TE0003972	230351	522	536	9.73880597
TE0003973	149236	470	413	11.38014528
