SID	tg_lbp1	tg_lbp2	tg_lbp3	tg_lbp4	tg_lbp5	tg_hog1	tg_hog2	tg_hog3	tg_hog4	tg_hog5	tg_contrast	tg_dissimilarity	tg_homogeneity	tg_energy	tg_correlation	tg_entropy
TE0003905	40767	13916	27979	17459	53720	263419	25205	493	37	16	61.72260202	1.680192063	0.707618608	0.379028242	0.952636681	6.814549349
TE0003906	56332	19583	41495	21630	67602	317049	27927	833	48	13	68.81801027	2.840929677	0.515219554	0.287160722	0.962351208	6.992086992
TE0003907	43509	18929	35455	23961	62459	295935	24033	730	46	16	40.35638729	1.586247929	0.63725506	0.328036883	0.973059262	6.787679138
TE0003908	67989	31052	48100	34396	83010	424467	41625	949	64	22	92.59123532	2.958861664	0.574222865	0.310716823	0.950175097	6.721937365
TE0003909	45502	20634	33424	23875	55154	271866	23473	600	24	11	52.40942739	2.355714868	0.550576247	0.291026649	0.951021104	6.478281045
TE0003910	27991	12148	22178	14170	35198	196351	15582	410	32	7	49.43806292	2.016526611	0.631122713	0.397886689	0.945153243	6.691533844
TE0003911	33567	16875	26091	18129	41378	229175	18328	305	37	15	46.25412537	2.603142375	0.565798403	0.360375353	0.934941377	6.498913121
TE0003912	35472	15737	26357	19431	49151	250598	21085	423	38	16	50.59083041	1.78326043	0.653879045	0.375982124	0.96151234	6.587363388
TE0003913	39842	15678	27356	18273	46473	236352	16955	646	57	6	59.78273477	3.374964624	0.481880608	0.313020327	0.948813092	6.726043966
TE0003914	31984	12859	23897	13961	40266	215535	16003	642	33	14	56.31919873	2.326224929	0.593203963	0.378983606	0.95864109	6.846551956
TE0003915	35993	17637	27984	19836	42622	232190	20344	714	27	12	60.34778613	2.218855265	0.578421444	0.335748253	0.968931661	6.882663002
TE0003916	39217	15010	23852	16534	42189	240952	22886	510	20	16	67.38121007	2.154048537	0.650387329	0.389684629	0.9414426	6.493104955
TE0003917	56338	27209	50726	34195	78268	390405	36306	909	47	13	62.91941966	2.204259003	0.603128519	0.306768389	0.954437498	6.797013707
TE0003918	30866	11747	19231	13898	39315	189118	15983	413	48	16	81.61541923	2.798463477	0.56880124	0.349392405	0.953309584	7.09134843
TE0003919	41456	16256	28682	20545	63907	277297	23470	507	28	18	45.5269421	1.698785597	0.651348594	0.327635054	0.965691295	6.863183658
TE0003920	45909	28502	48714	34975	65751	348101	33947	628	37	12	64.59265851	2.664114448	0.550973105	0.304047166	0.939529336	6.459735673
TE0003921	42558	16171	31274	20655	56718	284940	27789	604	47	9	64.80859007	1.891705873	0.662111771	0.361269537	0.933488773	6.296271809
TE0003922	46788	19252	27820	22302	49946	276914	20176	524	40	21	43.24087591	2.098898645	0.591960636	0.349808808	0.956913585	6.70932014
TE0003923	43851	17514	32076	22781	62884	288601	26867	694	35	27	56.77111436	1.846739687	0.649952568	0.333062886	0.958286038	6.646547052
TE0003924	43152	14086	33760	23427	78701	422454	29455	746	32	22	27.09340678	1.014261919	0.778729492	0.49353949	0.978362859	6.812162329
TE0003925	50395	21456	38590	26093	71089	328289	29126	679	71	17	71.83003924	2.203904513	0.60553768	0.317903995	0.963483132	6.895820934
TE0003926	48443	17457	35180	24974	74159	332914	34792	783	45	16	72.77384861	2.015390326	0.685181858	0.35207817	0.957776227	6.809987772
