SID	tg_cnnPC1	tg_cnnPC2	tg_cnnPC3	tg_cnnPC4	tg_cnnPC5	tg_cnnPC6	tg_cnnPC7	tg_cnnPC8	tg_cnnPC9	tg_cnnPC10
TE0003905	36.310333	22.043907	-35.583717	35.21973	15.461988	-14.358344	-28.842838	38.599663	17.01404	-33.724476
TE0003906	-7.300679	-41.62136	17.437946	-0.8126734	-14.862487	2.3851562	8.29315	14.077966	13.750606	32.536022
TE0003907	-15.9072695	-20.79335	28.990114	-17.720886	4.959712	-28.637865	-16.461573	23.147337	10.617336	11.618418
TE0003908	87.02747	-21.645845	5.8016496	12.218005	-61.77356	-25.233105	48.849804	2.700557	-12.538504	3.0472221
TE0003909	62.01779	7.475198	-7.7543616	4.013163	-8.059461	12.8846445	10.176049	-2.6203594	-12.389208	18.208935
TE0003910	-16.539034	49.264034	-2.576136	4.9675207	22.378456	-7.4028873	12.675924	-3.6375053	9.680757	8.317091
TE0003911	-57.340496	-64.876755	2.457735	2.0331862	3.7381105	1.5590569	-18.017233	6.3064766	15.5358095	-21.990818
TE0003912	80.9319	-23.008507	-22.577639	-52.319443	-17.240852	-29.916101	5.837987	-15.513585	6.19748	-15.322335
TE0003913	-60.286934	12.232237	-31.049627	19.658352	17.557432	-3.4391766	9.105424	7.2065325	9.566806	-2.44187
TE0003914	-26.001211	51.48022	1.1690612	-13.580443	-10.553047	11.474586	20.11645	-11.297239	16.005835	16.148178
TE0003915	38.94201	-37.46881	5.5426593	-16.604462	10.96671	-44.71119	-17.596684	10.6954155	-7.9960985	8.996573
TE0003916	42.55351	48.077103	-3.387921	46.62454	-18.691132	-18.90249	-7.319411	29.04691	20.808937	-10.963657
TE0003917	73.33386	-21.825163	8.41281	5.604374	-10.867249	8.676473	-9.843693	38.764767	-9.8883	4.3734856
TE0003918	49.359055	-29.016844	-36.463367	-19.619516	-33.95064	7.9745054	16.743273	3.1355538	5.77669	16.322384
TE0003919	26.736593	-8.540332	-38.645508	-26.146498	-6.3053856	9.474535	16.222164	4.8488517	-6.5240426	-3.6090293
TE0003920	53.248287	-30.179678	-3.8489864	28.386452	-24.80224	20.408943	-22.41451	4.41166	4.1938295	-0.98082894
TE0003921	139.43892	11.41314	-29.086351	46.397263	5.1926227	-0.40922716	-30.098673	19.81821	4.6601725	-23.793564
TE0003922	-36.42202	22.73683	-20.431236	27.246824	4.3849416	-20.336615	1.8849733	30.570253	5.679133	14.857881
TE0003923	86.65484	-14.604498	-36.0954	-9.650657	-35.926655	-16.804642	-7.2132363	16.941628	7.041293	-12.613944
TE0003924	28.760958	43.01778	0.96130866	-34.54841	-48.39909	-9.17724	8.10109	7.273286	8.649606	-12.337898
TE0003925	79.145805	-39.06312	-34.189117	-11.987642	-43.624462	6.595117	11.614549	-18.592588	-6.1721816	-14.263066
TE0003926	101.846634	-8.918004	18.676533	-9.371713	-28.857758	-13.803529	17.278849	21.849066	-15.462013	-7.590031
TE0003927	79.66811	-20.701649	-24.593225	-4.721027	-0.14361039	-18.794886	24.143927	8.710819	1.6076113	10.88741
TE0003928	41.467884	-42.636868	19.476358	8.855005	5.393949	18.98426	1.4385359	-18.743126	-18.362755	7.979242
TE0003929	62.522587	38.57454	-8.365836	6.558019	19.060558	8.507884	-20.945522	-8.549858	23.679996	4.41581
TE0003930	-15.59783	24.838049	4.079583	3.502629	-18.89925	-25.331451	-16.77322	-2.3194153	15.659817	-15.029692
TE0003931	11.536688	26.274496	11.035007	-4.014199	-5.923489	9.679054	26.678057	-5.996159	21.646404	12.551993
TE0003932	-5.798836	-20.655062	-36.281105	-8.533517	-13.598015	3.4971385	14.722175	-16.673191	18.821627	8.555137
TE0003933	-32.893246	33.551025	22.983019	-18.710997	-30.792038	34.4228	10.956086	-15.780126	-18.595125	1.3790051
TE0003934	-46.292137	-49.899605	-41.695927	-8.1099205	4.1629252	14.334993	3.4402003	4.5298386	15.697275	-0.9371319
TE0003935	27.571974	-17.036253	-23.831627	-3.822797	-4.852552	-7.4132414	22.3218	2.1613672	-5.953506	8.046725
TE0003936	-43.21371	29.84716	56.783	-18.657541	7.045672	11.523588	11.591289	15.133201	-3.7614622	-32.649857
TE0003937	76.88675	16.516466	-19.311636	25.173265	2.2128768	-8.228282	11.800732	-3.0951328	-1.2356213	-28.767763
TE0003938	82.61864	30.652103	-19.661774	25.42756	17.762	17.357374	-15.29758	1.2180715	-5.217859	-11.02137
TE0003939	12.610843	-28.06684	43.664436	6.920385	17.233328	-11.70702	-13.058404	1.1386689	16.820196	4.517905
TE0003940	99.51592	-2.4126663	2.630557	10.217605	-27.196493	-2.1362743	-11.512592	10.320977	17.462011	-8.784514
