SID	tai_lbp1	tai_lbp2	tai_lbp3	tai_lbp4	tai_lbp5	tai_hog1	tai_hog2	tai_hog3	tai_hog4	tai_hog5	tai_contrast	tai_dissimilarity	tai_homogeneity	tai_energy	tai_correlation	tai_entropy
TE0003905	16615	4724	7242	5491	24182	272073	15869	1019	157	52	135.3148696	2.224073866	0.849762115	0.756045227	0.668147826	6.004020642
TE0003906	33186	9500	18319	11518	40243	322212	22247	1238	108	65	140.3232186	3.541200044	0.699423886	0.599305896	0.882736922	6.951944807
TE0003907	15441	5974	10426	6386	25579	303059	16490	980	164	67	72.17133513	1.704401276	0.848782673	0.75866417	0.90811199	7.055390828
TE0003908	45695	15155	18399	16690	49571	434852	30390	1707	96	82	177.7398571	3.813690658	0.7109264	0.608525899	0.779730088	6.304684468
TE0003909	26621	9375	13866	10080	28804	269674	25270	865	117	48	120.8012249	3.317183179	0.724471315	0.631043451	0.830634936	6.502960829
TE0003910	13167	4244	6439	5310	14405	197724	13674	836	80	68	103.2159448	2.53280543	0.813151234	0.752894467	0.771472333	6.726364924
TE0003911	11356	3586	4945	3533	11150	231198	15322	1083	165	92	81.82307573	2.071025384	0.863109983	0.824940296	0.745921701	6.686433934
TE0003912	28995	11681	19364	14693	39797	250558	21074	437	55	36	96.51478099	2.757245543	0.687042687	0.503487852	0.915948846	6.589009094
TE0003913	26907	8890	13680	9709	27601	235274	17880	722	96	44	120.787017	3.946989696	0.654551135	0.580379963	0.846817209	6.665046242
TE0003914	17349	5945	10538	7040	21315	216209	14993	879	93	53	111.6203337	2.587643758	0.770265675	0.675886946	0.819705714	6.533417636
TE0003915	25601	10882	16115	12768	30749	233694	18587	901	59	46	147.0507755	3.464405689	0.673077716	0.546553233	0.883644336	6.711796162
TE0003916	23362	7017	9201	7267	23144	246918	16354	984	83	45	145.8126991	3.176020273	0.762773786	0.676347788	0.567172493	5.63636477
TE0003917	29153	10027	17107	11669	40058	400392	25428	1595	174	91	125.3495539	2.621434656	0.791704996	0.68606077	0.840772465	6.62660897
TE0003918	16509	5306	7122	5803	19127	192151	12481	773	126	47	129.4917325	3.135834964	0.749680557	0.685160958	0.873464279	7.124284301
TE0003919	16628	4939	7862	6092	28527	280607	19386	1109	152	66	96.89294827	2.231468939	0.844201522	0.736913131	0.865469929	7.121149012
TE0003920	21076	8547	14098	12278	31035	353684	27199	1611	154	77	123.3500247	2.6331912	0.809048636	0.715336583	0.792015251	6.547816324
TE0003921	30707	8782	14563	10579	36350	289134	23113	975	131	36	159.4138261	3.304363333	0.735790242	0.60324311	0.581978275	5.709725868
TE0003922	22518	7310	9038	7271	20613	278071	18555	850	133	66	115.5974157	3.132574021	0.772619254	0.722541658	0.812882461	6.917801122
TE0003923	30180	9521	16918	13901	46013	290952	24134	984	101	53	131.7234981	2.991138236	0.731230623	0.556528722	0.833949598	6.314437358
TE0003924	16469	5140	8785	5888	27938	429645	21435	1380	158	91	63.60250771	1.616756509	0.885824821	0.822438045	0.92086715	7.224891395
TE0003925	30534	9802	13521	11036	37697	332651	23869	1437	151	74	171.3424133	3.373557881	0.750928982	0.648975906	0.836655383	6.584998687
TE0003926	30264	8754	16172	12349	45369	338347	28712	1322	108	61	155.3738089	2.987905316	0.780139867	0.624204796	0.808679554	6.412016675
TE0003927	15561	4389	6842	5120	20886	324664	20554	1449	234	103	126.9400017	2.39828877	0.868222311	0.807396047	0.827358051	7.035046733
