SID	tai_cnnPC1	tai_cnnPC2	tai_cnnPC3	tai_cnnPC4	tai_cnnPC5	tai_cnnPC6	tai_cnnPC7	tai_cnnPC8	tai_cnnPC9	tai_cnnPC10
TE0003905	49.84668	-8.494451	-30.381031	-31.404858	14.418831	6.102067	1.1302785	1.4978473	8.460076	-3.919567
TE0003906	-57.25143	-20.354502	-0.72060376	-16.041147	18.44987	-7.0570745	-22.748888	-24.51168	-2.375103	-6.539286
TE0003907	-27.14373	-18.382122	-22.309153	-15.239857	34.555676	12.178887	-8.914583	-7.525553	37.513794	1.1239787
TE0003908	5.466436	-16.21031	16.971258	-18.65576	22.896029	-18.390314	22.652363	6.434696	-25.953888	15.864265
TE0003909	26.186983	44.491646	-6.5408072	-28.898357	-12.338403	-8.701851	10.516751	25.61356	-5.1583757	-9.667831
TE0003910	86.615585	35.367996	-13.3665495	23.992115	-15.670368	5.6419153	5.3994665	6.727613	-13.02157	4.3393016
TE0003911	11.985691	-28.580263	13.5564375	-16.379913	30.676691	-16.844812	-2.3551717	-10.942226	18.547783	-2.0461583
TE0003912	-106.664474	91.86424	-28.11605	-39.720863	-3.0852761	25.860361	-6.0897174	13.917491	-11.211388	7.468352
TE0003913	10.306351	-27.041735	-3.5601823	28.531733	19.197332	5.794175	-24.414574	1.7277999	-18.37788	-19.394567
TE0003914	43.654716	19.809435	-11.252352	33.878128	23.72951	-25.650887	17.976559	-12.400044	-2.4489627	-13.617357
TE0003915	-35.45968	-0.9071265	-5.4354916	-14.315934	9.648182	26.533957	-1.2122053	-14.511265	2.4226005	2.531958
TE0003916	76.4498	10.364937	6.201645	-17.09311	-4.754647	-2.5014517	11.995129	5.657355	-19.47975	-12.524829
TE0003917	23.767673	-25.588161	1.5666554	-15.246475	16.575912	13.535896	10.325675	-3.6518118	-8.49806	-14.748843
TE0003918	-0.935039	33.762363	-7.1666126	26.882856	25.593893	-11.498753	9.051963	-7.8257856	-17.326197	-12.0977
TE0003919	25.220242	17.605913	-33.65251	10.002859	59.11144	-21.60925	30.78121	4.949515	1.8149213	15.289598
TE0003920	-5.0860515	-23.637857	-11.275224	-52.08112	11.772259	15.399314	22.614195	14.614396	4.908043	-21.08703
TE0003921	64.966064	31.873373	6.3286915	-34.7779	-26.560205	6.9314027	13.001478	14.499751	-11.0392885	-17.72567
TE0003922	96.93748	35.098763	-32.68245	-5.5864964	8.092769	-32.892185	-31.289963	-3.3815174	23.81795	-21.876661
TE0003923	-33.638157	35.59085	4.2259717	-54.119507	22.850536	1.1321428	23.73054	-10.044117	-37.170307	0.74748003
TE0003924	37.31064	42.97782	5.5683055	-8.102772	-20.312574	-26.182194	41.935726	2.6371148	1.2574145	0.4613984
TE0003925	46.779224	-0.9611226	5.3226423	-13.509043	-5.4051037	-17.004854	30.66086	5.232298	-1.9930975	35.169674
TE0003926	34.964207	56.710907	10.410894	-29.97034	17.992817	8.893819	18.871943	-22.502428	-25.53081	4.0271854
TE0003927	-3.8911505	-19.71709	-40.768326	-47.761673	25.854132	-0.8630717	-6.342166	18.728123	3.1164627	15.600633
TE0003928	-3.9281242	-39.862152	-18.453	5.207169	27.394287	-4.1187572	-7.0769053	-4.6009507	17.240849	-1.8415132
TE0003929	12.644069	-33.653744	-22.969059	-53.935883	-5.3631024	31.41106	5.2929235	29.951057	-0.048705343	-19.018528
TE0003930	1.2380949	-43.59353	-13.163226	0.017112257	34.302105	0.5724211	10.910412	3.8211863	-2.9993672	-9.9169445
TE0003931	9.550728	-1.7001023	-18.608002	-5.504581	-26.856295	-1.4073482	-6.3136554	-8.327396	10.026125	-4.755693
TE0003932	-8.2765	-28.174427	-3.8204901	22.309053	-3.5779006	-23.315493	13.717936	-12.654437	8.435426	9.381851
TE0003933	7.9531884	28.270664	-36.405518	21.85146	11.965375	-17.583298	7.053671	-5.056005	16.890308	11.660835
TE0003934	5.528429	2.759697	-8.709326	17.213335	8.296172	-5.43295	12.460934	5.1459827	-17.532816	6.171482
TE0003935	-13.165586	-18.218615	-14.91812	-1.0914603	-20.453064	-1.5720009	2.2633212	-12.663373	13.012408	13.666868
TE0003936	7.2457294	-13.01614	8.76871	45.188877	21.150785	-15.641333	24.674973	10.214648	-18.2394	14.713759
TE0003937	45.987026	-0.98930645	-21.062412	1.5443856	3.0627897	-4.9176416	14.6244955	9.173682	-3.4902682	18.898214
TE0003938	105.74354	33.458374	23.756016	-7.9796996	-27.251972	-0.79226637	12.492084	12.3090925	3.0145547	-8.028478
TE0003939	9.930322	-58.49404	32.123726	-3.3744755	10.012077	17.85547	21.537022	-4.757575	11.902178	-3.3669922
TE0003940	5.3252087	-0.24942139	0.2754201	-40.341305	12.8422785	3.3531182	31.616228	18.154617	-25.580526	-5.63798
TE0003941	9.521193	-41.459446	-2.9928868	-9.066253	23.407253	-8.566735	31.333357	-11.992631	10.40161	-2.0188944
