SID	tai_div_zhi	num_zhi
TE0003905	63.0905192	92334
TE0003906	123.3102604	91449
TE0003907	53.29958567	119712
TE0003908	133.2618989	109191
TE0003909	85.89763444	103316
TE0003910	64.53213646	67509
TE0003911	34.10447393	101365
TE0003912	379.6910224	30164
TE0003913	151.4290201	57312
TE0003914	125.4706132	49563
TE0003915	216.689963	44356
TE0003916	111.9103962	62542
TE0003917	79.73631371	135464
TE0003918	95.38202745	56475
TE0003919	60.35602213	106117
TE0003920	64.6713083	134579
TE0003921	164.5123978	61382
TE0003922	67.43922892	98978
TE0003923	195.6203522	59571
TE0003924	50.45687752	127277
TE0003925	98.88669333	103745
TE0003926	162.4832707	69489
TE0003927	34.62277452	152495
TE0003928	49.27454984	119512
TE0003929	111.0713945	94279
TE0003930	79.77430384	101198
TE0003931	127.9603948	62517
TE0003932	96.45046507	80095
TE0003933	118.918962	62699
TE0003934	104.4507228	78931
TE0003935	109.130345	87138
TE0003936	123.947859	68123
TE0003937	53.90629038	77388
TE0003938	88.81344388	93961
TE0003939	103.7780654	84223
TE0003940	140.2368638	80046
TE0003941	62.43309513	104813
TE0003942	100.0851185	91637
TE0003943	171.9149703	66612
TE0003944	88.14409127	127447
TE0003945	146.5591292	111527
TE0003946	39.12429704	130341
TE0003947	101.2255524	74905
TE0003948	94.38714457	52647
TE0003949	68.54791299	100359
TE0003950	158.9712287	54881
TE0003951	53.30767854	111740
TE0003952	109.3906094	64064
TE0003953	121.6107703	66999
TE0003954	43.48861571	111689
TE0003955	58.56487679	115781
TE0003956	86.38081778	121696
TE0003957	106.3653509	91731
TE0003958	60.92906217	106107
TE0003959	89.29879424	130789
TE0003960	107.1484811	60964
TE0003961	95.45669623	114124
TE0003962	82.57102008	80435
TE0003963	92.42480736	64368
TE0003964	154.5471345	81172
TE0003965	133.6502765	63839
TE0003966	56.73611774	115237
TE0003967	92.66147538	132915
TE0003968	215.8473978	62332
TE0003969	47.05119896	72521
TE0003970	47.32374325	102606
TE0003971	40.63279248	86221
TE0003972	122.9004486	101867
TE0003973	123.1233691	65916
TE0003974	128.4956508	49204
TE0003975	82.36935592	97115
TE0003976	111.8459742	71079
TE0003977	170.5844549	54461
TE0003978	66.45636708	98114
TE0003979	46.71942288	72914
TE0003980	190.7302394	66129
TE0003981	363.294716	17695
TE0003982	153.5741311	74004
TE0003983	72.96504827	128234
TE0003984	62.48786997	82440
TE0003985	352.142578	23033
TE0003986	56.00014497	82773
TE0003987	88.9579471	74977
TE0003988	59.42462011	105426
TE0003989	143.6920423	51007
TE0003990	65.22674264	71601
TE0003991	60.53613679	81994
TE0003992	79.12261221	62139
TE0003993	112.4209948	50946
TE0003994	236.3234203	35038
TE0003995	60.47394482	169640
TE0003996	60.10139264	116182
TE0003997	89.13039886	121044
TE0003998	105.4395729	79418
TE0003999	76.4249008	76865
TE0004000	150.1949567	58731
TE0004001	121.1129183	86691
TE0004002	120.9197139	104576
TE0004003	65.88428442	88320
TE0004004	139.4527447	59570
TE0004005	207.8033418	34293
TE0004006	123.032917	66774
TE0004007	85.79617259	88624
TE0004008	183.8547078	45233
TE0004009	199.7208931	37620
TE0004010	157.0437427	72355
TE0004011	78.03637495	141361
TE0004012	105.9282055	103657
TE0004013	58.80198029	105641
TE0004014	276.3610397	35010
TE0004015	179.2038708	82876
TE0004016	122.8269067	83533
TE0004017	70.98385857	83264
TE0004018	94.15684082	84047
TE0004019	220.5211493	55723
TE0004020	298.2006558	36291
TE0004021	60.14577843	114969
TE0004022	129.7474844	83876
TE0004023	79.3705048	89818
TE0004024	353.6325296	37701
TE0004025	186.7865478	55277
TE0004026	150.3544699	60795
TE0004027	132.6487281	73473
TE0004028	339.6719645	37374
TE0004029	69.15314177	148738
TE0004030	145.3657544	88461
TE0004031	104.9499052	73860
TE0004032	105.6076622	110777
TE0004033	78.30345369	99343
TE0004034	119.9247438	60593
TE0004035	176.3657767	68807
TE0004036	43.89129605	178172
TE0004037	130.3624147	58938
TE0004038	125.0080429	46625
TE0004039	88.27462492	67452
TE0004040	188.4518297	69327
TE0004041	193.3872715	62788
TE0004042	110.9913854	70346
TE0004043	57.75079421	70825
TE0004044	119.9886334	102053
TE0004045	89.41883927	75332
TE0004046	42.09577546	110947
TE0004047	163.3627194	62955
TE0004048	106.4218628	88479
TE0004049	121.4976857	83609
TE0004050	285.6924986	38686
TE0004051	115.5018623	93163
TE0004052	97.91866795	68706
TE0004053	110.0717117	87294
TE0004054	108.0012127	42881
TE0004055	113.4320668	75692
TE0004056	134.3837406	92599
TE0004057	102.2774808	94666
TE0004058	121.3228416	90865
TE0004059	83.10332232	112241
TE0004060	525.541757	23996
TE0004061	194.2937288	75934
TE0004062	98.44630099	79359
TE0004063	372.7324103	35390
TE0004064	43.78371524	102513
TE0004065	179.0328886	81852
TE0004066	85.41752393	75337
TE0004067	229.710057	57701
TE0004068	107.5511832	94025
TE0004069	102.6749323	70170
TE0004070	212.0854904	76687
TE0004071	151.4594013	66911
TE0004072	100.9382792	77802
TE0004073	225.0910222	54657
TE0004074	95.77631292	77823
TE0004075	38.32885528	180882
TE0004076	133.0458686	74212
TE0004077	263.6649314	52825
TE0004078	82.64606062	137306
TE0004079	160.042021	60446
TE0004080	36.69215478	121233
TE0004081	118.310065	88962
TE0004082	116.2002429	85616
TE0004083	99.77251817	98909
TE0004084	102.2666813	72926
TE0004085	148.1825332	64843
TE0004086	68.81032436	110341
TE0004087	151.5238662	60504
TE0004088	255.706189	57166
TE0004089	52.52378929	155322
TE0004090	117.0625846	64281
TE0004091	137.8977394	74672
TE0004092	115.5998566	69725
TE0004093	95.42152919	70351
TE0004094	77.72242484	86917
TE0004095	91.93142961	88318
TE0004096	117.0979986	86940
TE0004097	146.3394959	75618
TE0004098	52.13418178	137664
TE0004099	201.4685844	46235
TE0004100	214.8277396	58458
TE0004101	63.63767992	151943
TE0004102	79.07694702	115638
TE0004103	219.6132278	43333
TE0004104	42.52033303	114223
TE0004105	62.45167727	88209
TE0004106	176.8707952	43551
TE0004107	291.2091384	60142
TE0004108	105.1802594	88123
TE0004109	165.6199467	72353
TE0004110	173.9313773	84899
TE0004111	76.33747646	66375
TE0004112	94.51419024	43093
TE0004113	76.41250372	87398
TE0004114	124.0216679	62581
TE0004115	269.921987	34866
TE0004116	108.6529048	72519
TE0004117	49.24796228	109436
TE0004118	95.02814852	63236
TE0004119	195.0039547	45516
TE0004120	357.1551774	34786
TE0004121	108.9993212	83973
TE0004122	95.8304307	107661
TE0004123	222.2455974	58942
TE0004124	175.0747263	64569
TE0004125	177.8102292	42799
TE0004126	215.7081274	38044
TE0004127	171.449683	62931
TE0004128	66.93949484	118023
TE0004129	158.2358359	51027
TE0004130	182.1656498	42777
TE0004131	115.5100523	51083
TE0004132	127.966941	55537
TE0004133	179.5654779	56752
TE0004134	257.1359893	47842
TE0004135	126.3007484	55987
TE0004136	260.2384906	43356
TE0004137	131.7618736	62723
TE0004138	167.4368216	46614
TE0004139	283.0688398	27978
TE0004140	93.48653446	117188
TE0004141	149.3255847	41814
TE0004142	331.5978918	38895
TE0004143	165.5480949	63146
TE0004144	117.5545287	108200
TE0004145	158.2390866	74450
TE0004146	201.4385897	41638
TE0004147	236.6816017	49548
TE0004148	233.9293841	52736
TE0004149	140.1784116	61431
TE0004150	148.9893745	75102
TE0004151	202.3136414	61548
TE0004152	262.2482994	36899
TE0004153	263.3063306	43329
TE0004154	199.9859868	49953
TE0004155	193.2313465	34645
TE0004156	159.1045765	39244
TE0004157	108.6991825	54189
TE0004158	84.60430773	65278
TE0004159	332.3090081	50277
TE0004160	109.3753906	64008
TE0004161	203.6889673	73137
TE0004162	131.1834326	92857
TE0004163	114.665147	40361
TE0004164	96.06609796	85691
TE0004165	227.1043771	21978
TE0004166	305.6785514	53570
TE0004167	191.8654082	41637
TE0004168	175.3141492	50215
TE0004169	183.4961671	46571
TE0004170	325.0639386	29325
TE0004171	117.3384766	95141
TE0004172	147.3331698	53003
TE0004173	146.6691852	79410
TE0004174	99.91093326	77470
TE0004175	150.0064943	69291
TE0004176	225.4218369	53753
TE0004177	298.0965989	39193
TE0004178	167.0287402	69415
TE0004179	257.0335645	30717
TE0004180	81.16538479	133398
TE0004181	101.4488478	61014
TE0004182	137.4308423	61273
TE0004183	63.60103844	59705
TE0004184	138.2874121	65293
TE0004185	143.0361626	48199
TE0004186	191.6581271	50744
TE0004187	79.8835705	120588
TE0004188	131.0336369	61153
TE0004189	111.7862372	99718
TE0004190	137.5423517	75853
TE0004191	56.23224352	133050
TE0004192	157.1784436	101965
TE0004193	128.7676773	71702
TE0004194	87.57898053	107938
TE0004195	58.43514847	111231
TE0004196	166.5746436	57232
TE0004197	203.4413828	25513
TE0004198	125.5828971	86722
TE0004199	186.4408273	56766
TE0004200	221.4018364	37137
TE0004201	50.87825275	127469
TE0004202	112.8819829	71371
TE0004203	65.28249534	62709
TE0004204	123.9698902	106809
TE0004205	204.9166197	60326
TE0004206	166.950755	36491
TE0004207	221.4287118	50899
TE0004208	139.9964358	84170
TE0004209	160.2815219	58610
TE0004210	49.16527745	83980
TE0004211	96.62056988	77735
TE0004212	214.6986139	55842
TE0004213	193.336736	56819
TE0004214	104.8877303	33758
TE0004215	240.2067632	35693
TE0004216	159.2990106	47704
TE0004217	119.8047957	96002
TE0004218	44.9101605	93834
TE0004219	154.5545231	54133
TE0004220	38.13442884	72782
TE0004221	221.5643564	40400
TE0004222	73.95405676	72829
TE0004223	69.17038588	101276
TE0004224	139.227045	107199
TE0004225	58.58113819	140803
TE0004226	38.16317279	116919
TE0004227	95.11166723	95104
TE0004228	93.40292913	45884
TE0004229	190.4610371	52165
TE0004230	222.3459669	40316
TE0004231	67.51297488	96340
TE0004232	46.05633955	92617
TE0004233	64.76274506	103138
TE0004234	147.1955769	75060
TE0004235	204.4705622	54199
TE0004236	89.23184155	76039
TE0004237	233.0867985	47593
TE0004238	145.1783781	68338
TE0004239	80.64382854	58090
TE0004240	59.11737261	174683
TE0004241	79.38026924	117664
TE0004242	134.1723917	54585
TE0004243	111.6911623	67427
TE0004244	41.17050591	129192
TE0004245	87.11688249	82938
TE0004246	64.49363327	119449
TE0004247	274.9335049	46620
TE0004248	359.2420662	23696
TE0004249	214.5537525	45356
TE0004250	83.82883863	91960
TE0004251	238.1497197	39594
TE0004252	92.66284504	54776
TE0004253	107.3156018	74594
TE0004254	84.21398064	102084
TE0004255	167.6551228	51427
TE0004256	228.1566461	42363
TE0004257	154.4406308	44577
TE0004258	273.5650464	34583
TE0004259	234.7764863	39058
TE0004260	83.50631505	68408
TE0004261	110.2265988	80936
TE0004262	287.7880468	56805
TE0004263	109.8034014	105545
TE0004264	104.8945997	84440
TE0004265	87.06023621	111594
TE0004266	112.5764028	69042
TE0004267	142.4041968	78155
TE0004268	108.0035348	83738
TE0004269	369.8039725	23109
TE0005991	83.12902306	133294
TE0004270	94.84919473	102450
TE0004271	53.63605753	103945
TE0004272	85.03181612	61604
TE0004273	152.5966662	46733
TE0004274	93.02960801	47960
TE0004275	87.24232042	51663
TE0005992	314.2527036	21638
TE0004276	184.6277426	65358
TE0004277	90.34211102	109672
TE0004278	165.3291139	63200
TE0004279	172.5543174	53666
TE0004280	150.1482364	72182
TE0004281	148.9535644	55044
TE0004282	80.42206834	57621
TE0004283	58.09614288	105260
TE0004284	85.7026975	72734
TE0004285	107.1420804	45981
TE0004286	93.9002631	66134
TE0004287	119.6463379	71311
TE0004288	58.10512531	94687
TE0004289	229.5378675	49726
TE0004290	111.4934107	102363
TE0004291	229.2234687	36457
TE0004292	80.21751629	83488
TE0004293	127.9549279	89723
TE0004294	239.1013819	37413
TE0004295	193.1203784	66806
TE0004296	78.98605523	99177
TE0004297	110.9310306	53618
TE0004298	71.30822466	113719
TE0004299	30.46715633	158341
TE0004300	92.71932908	99565
TE0004301	26.81602715	162649
TE0004302	57.49533624	90056
TE0004303	76.42071063	100953
TE0004304	51.52179206	82140
TE0004305	475.1324944	33775
TE0004306	173.6337766	34438
TE0004307	66.21293934	110933
TE0004308	164.1841797	53817
TE0004309	162.4755109	62783
TE0004310	207.7572816	51500
TE0004311	81.28724194	99686
TE0004312	192.617006	51429
TE0004313	79.59339263	137725
TE0004314	161.1072897	65421
TE0004315	132.5958599	71641
TE0004316	126.6085046	76453
TE0004317	53.3900989	110513
TE0004318	97.98829554	84754
TE0004319	146.0515845	64089
TE0004320	61.53671263	87967
TE0004321	217.3542069	53912
TE0004322	57.60589172	125600
TE0004323	81.81849391	116514
TE0004324	223.2589551	55527
TE0004325	112.4861493	83028
TE0004326	48.90139258	138448
TE0004327	127.698224	59289
TE0004328	133.0765425	70745
TE0004329	158.5934713	64485
TE0004330	76.64996823	96017
TE0004331	116.6793159	56657
TE0004332	104.6448375	56988
TE0004333	197.3972048	69118
TE0004334	102.6403913	90782
TE0004335	132.7101941	54188
TE0004336	70.19155547	89478
TE0004337	160.3690359	61891
TE0004338	72.26817106	99265
TE0004339	247.4049728	34990
TE0004340	113.8439673	78099
TE0004341	117.9942287	80398
TE0004342	63.6302521	86275
TE0004343	102.6798636	60115
TE0004344	198.9454944	51114
TE0004345	149.5324346	57639
TE0004346	84.71928741	61522
TE0004347	128.8656885	70880
TE0004348	220.2643627	29051
TE0004349	94.98754706	86325
TE0004350	76.48503478	63113
TE0004351	134.3728897	97734
TE0004352	131.7386971	44148
TE0004353	136.542224	87403
TE0004354	304.9990617	26645
TE0004355	246.7680368	31699
TE0004356	138.0267531	71618
TE0004357	55.71015276	88833
TE0004358	176.8546289	60349
TE0004359	106.8127431	74801
TE0004360	119.1695094	83252
TE0004361	113.2040714	64056
TE0004362	312.5192864	41480
TE0004363	73.50841266	72272
TE0004364	196.9957669	72997
TE0004365	113.8263597	46556
