SID	zhi_lbp1	zhi_lbp2	zhi_lbp3	zhi_lbp4	zhi_lbp5	zhi_hog1	zhi_hog2	zhi_hog3	zhi_hog4	zhi_hog5	zhi_contrast	zhi_dissimilarity	zhi_homogeneity	zhi_energy	zhi_correlation	zhi_entropy
TE0003905	29294	9392	17399	10287	25962	270020	18627	408	82	33	53.60292438	1.576801197	0.801050865	0.624851428	0.909487231	6.634873695
TE0003906	30731	9991	17651	8436	24640	325061	19938	754	66	51	64.64459129	2.118151625	0.772276227	0.678568025	0.876949511	6.780481804
TE0003907	34054	12709	21883	16136	34930	299675	20568	400	79	38	47.79897506	1.716373565	0.747624049	0.558256012	0.925787915	6.576776806
TE0003908	33392	12458	22829	13349	27163	439274	26322	1277	139	115	64.31555385	1.799270036	0.813557878	0.714356705	0.914065409	6.877992495
TE0003909	33739	11131	16553	13364	28529	273285	22026	535	94	34	78.78338932	2.80787963	0.705857943	0.579249705	0.829198446	6.415480077
TE0003910	21686	7793	12444	7473	18113	196344	15400	524	76	38	57.70352295	2.177213963	0.751132773	0.627736643	0.870674224	6.57478649
TE0003911	28677	12623	18281	13175	28609	230330	17130	323	38	39	64.76361688	2.92027504	0.656490966	0.515579694	0.849607452	6.413301063
TE0003912	11152	3306	4633	3284	7789	260741	10479	772	108	60	35.40641547	0.920599596	0.919406425	0.866715768	0.792881915	6.354354926
TE0003913	20453	6716	9166	6514	14463	238278	14966	626	92	54	64.29654408	2.470402657	0.777799817	0.721793649	0.775226497	6.523704527
TE0003914	17863	6255	9262	5201	10982	219870	11784	465	61	47	58.86710119	1.95714825	0.806816411	0.742838393	0.887135353	6.979332362
TE0003915	16132	5895	7890	4687	9752	239670	12777	689	104	47	51.10461616	1.484726913	0.859371176	0.789655305	0.886605963	6.941273539
TE0003916	22629	6949	10819	7449	14696	246460	16894	862	108	60	54.74417929	1.749863612	0.81679837	0.718158077	0.88449701	6.705770626
TE0003917	35230	15274	28143	20300	36517	399794	26807	917	110	52	51.61788502	1.71876056	0.770479799	0.616566367	0.900367359	6.511017662
TE0003918	17731	5783	9888	6814	16259	193045	11869	597	38	29	49.41158804	1.637330994	0.801569425	0.677276607	0.884445866	6.491059148
TE0003919	31623	10854	17927	13675	32038	280037	20787	402	65	29	61.74674742	2.108122795	0.741847808	0.574722215	0.899293026	6.599815334
TE0003920	36908	17908	28366	18466	32931	355933	26245	483	35	29	70.06792115	2.687034977	0.69404871	0.574435863	0.86325752	6.453071267
TE0003921	23454	7212	9962	6795	13959	291654	20505	1020	131	79	64.03876157	1.862027622	0.835805577	0.758383945	0.838336198	6.481249042
TE0003922	34098	10711	14952	12378	26839	274817	22009	734	73	42	68.76152192	2.456167158	0.737443516	0.600316198	0.835356131	6.435942021
TE0003923	21176	7523	11016	6572	13284	296417	18316	1232	153	106	51.53360425	1.479699516	0.854174958	0.772458127	0.864926406	6.696563928
TE0003924	37329	10653	20970	16090	42235	425547	26340	692	93	37	41.1505961	1.426994557	0.824787554	0.660918655	0.884263139	6.347445776
TE0003925	32204	11085	19577	12618	28261	330310	26601	1072	132	67	87.01037279	2.416219751	0.768202922	0.65116539	0.88683519	6.899235454
TE0003926	22638	8273	13517	9907	15154	349923	17659	797	111	60	46.69430526	1.351852918	0.85668889	0.772874345	0.903390349	6.953934637
TE0003927	43211	15012	26360	19370	48542	317765	28568	575	65	31	71.16977506	2.314601477	0.711829042	0.476649106	0.920340012	6.648359058
TE0003928	36068	12564	21622	13773	35485	305629	21658	405	68	47	76.23830449	2.653136637	0.703959795	0.564478331	0.876510544	6.569406718
TE0003929	33666	12060	16109	11054	21390	313292	23873	838	166	87	71.68388848	2.211030415	0.775297191	0.665270916	0.880730552	6.682700116
TE0003930	28108	12132	21005	12922	27031	302628	18036	575	128	41	51.89115767	1.729632753	0.764143386	0.621785631	0.904946674	6.687690178
TE0003931	21430	8504	11606	5994	14983	261350	16763	735	124	73	56.07078528	1.815128901	0.819669961	0.726671892	0.844600231	6.565168068
TE0003932	25996	10151	14651	10193	19104	254623	16683	734	68	52	76.23523163	2.479702194	0.738982672	0.641421731	0.875358374	6.781295226
TE0003933	21140	7112	10262	7614	16571	228975	14611	594	64	52	55.90678111	1.937939332	0.790306415	0.694354815	0.810481941	6.297485578
TE0003934	23862	7268	15072	9124	23605	262737	18217	536	85	62	44.16716256	1.808319498	0.781167383	0.669319519	0.874556916	6.520648057
TE0003935	29149	9145	16621	9304	22919	311324	18851	674	140	58	65.04738224	2.190756049	0.773964332	0.678556741	0.845343609	6.645250203
TE0003936	21516	6451	12316	5944	21896	315274	15242	417	66	48	25.96321125	1.19079677	0.843528068	0.753798553	0.832837481	6.069968527
TE0003937	23863	8543	13211	9193	22578	191881	17068	368	51	17	83.06832134	2.476147928	0.735796295	0.563631344	0.879164953	6.534735302
TE0003938	33307	9364	14177	10655	26458	301284	25681	704	100	38	77.31672256	2.388409247	0.769536639	0.648763575	0.801647383	6.09599833
TE0003939	26682	10639	16520	10013	20369	304278	19699	823	108	64	77.06455604	2.389514649	0.768222738	0.685963253	0.838489974	6.622859535
