SID	zhi_cnnPC1	zhi_cnnPC2	zhi_cnnPC3	zhi_cnnPC4	zhi_cnnPC5	zhi_cnnPC6	zhi_cnnPC7	zhi_cnnPC8	zhi_cnnPC9	zhi_cnnPC10
TE0003905	-36.839848	-21.260986	-30.902283	36.51828	20.406757	23.820244	8.8278675	10.682992	-4.30814	-8.491139
TE0003906	-34.006355	55.594086	-3.2440004	4.346911	-2.233702	-6.8179703	-24.692816	-25.930473	14.157145	-2.210879
TE0003907	-31.726393	17.408075	19.605484	-32.114555	-19.146095	10.475224	-10.998649	32.939957	15.910404	0.022569928
TE0003908	-26.396378	51.25353	-71.46818	8.402441	-1.1164119	62.696854	10.279767	-11.1567545	22.074692	5.296225
TE0003909	54.49018	-24.786608	1.3641479	-24.786394	-15.811602	-1.2321315	7.809684	9.447591	15.350422	-2.437008
TE0003910	93.34944	-34.139427	-11.556341	-17.1345	30.385534	-2.128629	-11.744641	-2.487749	-11.217021	13.958694
TE0003911	16.761692	84.417175	69.54756	33.00526	-4.4438157	29.247356	-16.489614	30.44733	2.0240037	-6.6206813
TE0003912	-48.70335	-39.73903	-7.8540177	-26.467894	-14.612763	-13.686587	5.2589927	7.8732677	7.6444893	22.659687
TE0003913	-16.140612	-9.996912	32.89179	-3.4468343	9.099275	35.39358	4.765313	-24.32076	18.526974	25.580074
TE0003914	6.423172	-18.950508	-24.912876	7.4703994	35.871376	-29.365925	-2.8788555	-6.7015567	3.2398362	-1.3687805
TE0003915	-26.129972	18.781822	-22.072918	-14.502512	-12.374189	1.4740412	-2.9844763	3.4909215	23.354631	22.995485
TE0003916	-23.062212	-17.736189	-47.224373	11.289141	-23.133284	46.09469	-16.01868	1.1357732	-15.790598	6.5586057
TE0003917	-3.699004	35.61988	-41.500126	8.8808565	-5.8692694	19.814049	7.657207	7.8166213	22.773466	-10.405677
TE0003918	-16.199158	43.092957	-30.829931	13.77089	38.531036	6.2021966	-6.639466	-1.215647	10.613981	-5.490502
TE0003919	55.27456	23.065489	-5.651373	20.722916	25.680979	42.12169	22.009743	6.3196726	-12.4475765	-9.637083
TE0003920	24.475922	21.055899	-11.010254	9.389154	-20.721516	-5.9321437	2.757374	15.650328	20.959171	-7.6527205
TE0003921	25.919552	-9.765036	-71.50398	6.237458	-13.4405155	45.63962	-0.7283552	-7.5812554	-11.657644	17.013584
TE0003922	86.84402	-52.87791	16.89011	21.95428	-3.112232	41.01482	-9.492806	14.485546	-15.40539	-14.0343895
TE0003923	-26.163988	3.456868	-57.0137	4.7551928	-15.484728	36.32156	8.782115	-3.7025397	-7.0358796	13.388466
TE0003924	24.100336	-5.5814214	-19.243027	6.338812	2.9311922	-10.849337	48.082127	25.894972	-5.661315	-26.072289
TE0003925	52.228336	41.910633	-55.403614	18.298773	-20.306759	9.072984	15.110194	-0.83275664	-0.36505067	-6.6728263
TE0003926	-19.805788	40.602173	-75.84553	-33.637268	18.650663	43.842274	17.868073	-4.540057	3.3198392	2.2366483
TE0003927	5.016197	19.858627	-25.991291	19.300592	16.346848	28.063715	-12.348905	30.68217	10.268687	9.026924
TE0003928	10.218348	44.530003	11.877626	-37.556602	15.661204	23.718946	-27.989973	-9.232326	17.94754	-10.10662
TE0003929	15.304573	-29.644865	-32.353912	21.984432	-33.865284	-2.6229136	0.379696	11.5373535	6.544319	20.844769
TE0003930	-35.882767	43.79566	4.979219	16.76452	48.39319	6.339895	-11.965996	7.4768066	-17.661188	-10.910797
