SID	fissure_Red1	fissure_Red3	fissure_Red4	fissure_Green1	fissure_Green3	fissure_Green4	fissure_Blue1	fissure_Blue3	fissure_Blue4	fissure_Blue5	fissure_L1	fissure_L3	fissure_L4	fissure_a3	fissure_a4	fissure_b3	fissure_H1	fissure_H4	fissure_S1	fissure_S2	fissure_S3	fissure_V1	fissure_V3	fissure_V4	fissure_V5	fissure_Gray1	fissure_Gray3	fissure_Gray4	fissure_Red_mid	fissure_Red_avg	fissure_Red_var	fissure_Red_skew	fissure_Green_mid	fissure_Green_avg	fissure_Green_var	fissure_Green_skew	fissure_Blue_mid	fissure_Blue_avg	fissure_Blue_var	fissure_Blue_skew	fissure_L_mid	fissure_L_avg	fissure_L_var	fissure_L_skew	fissure_a_mid	fissure_a_avg	fissure_a_var	fissure_a_skew	fissure_b_mid	fissure_b_avg	fissure_b_var	fissure_b_skew	fissure_H_mid	fissure_H_avg	fissure_H_var	fissure_H_skew	fissure_S_mid	fissure_S_avg	fissure_S_var	fissure_S_skew	fissure_V_mid	fissure_V_avg	fissure_V_var	fissure_V_skew	fissure_gray_mid	fissure_gray_avg	fissure_gray_var	fissure_gray_skew	fissure_Red_mid_ratio	fissure_Red_avg_ratio	fissure_Red_var_ratio	fissure_Red_skew_ratio	fissure_Green_mid_ratio	fissure_Green_avg_ratio	fissure_Green_var_ratio	fissure_Green_skew_ratio	fissure_Blue_mid_ratio	fissure_Blue_avg_ratio	fissure_Blue_var_ratio	fissure_Blue_skew_ratio	fissure_L_mid_ratio	fissure_L_avg_ratio	fissure_L_var_ratio	fissure_L_skew_ratio	fissure_a_mid_ratio	fissure_a_avg_ratio	fissure_a_var_ratio	fissure_a_skew_ratio	fissure_b_mid_ratio	fissure_b_avg_ratio	fissure_b_var_ratio	fissure_b_skew_ratio	fissure_H_mid_ratio	fissure_H_avg_ratio	fissure_H_var_ratio	fissure_H_skew_ratio	fissure_S_mid_ratio	fissure_S_avg_ratio	fissure_S_var_ratio	fissure_S_skew_ratio	fissure_V_mid_ratio	fissure_V_avg_ratio	fissure_V_var_ratio	fissure_V_skew_ratio	fissure_gray_mid_ratio	fissure_gray_avg_ratio	fissure_gray_var_ratio	fissure_gray_skew_ratio
TE0003905	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TE0003906	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TE0003907	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TE0003908	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TE0003909	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TE0003910	0.00541272	0.608931	0.30581868	0.00541272	0.65899867	0.21244925	0.00541272	0.18538566	0.76589984	0.040595397	0.00541272	0.48985115	0.48443842	0.87956697	0.12043302	1	0.059539918	0.9391069	0.4181326	0.55209744	0.029769959	0.00541272	0.18538566	0.76589984	0.040595397	0.00541272	0.57780784	0.3653586	141	138.5277402	646.8229788	-0.618111834	133	131.3558863	640.3807874	-0.389938151	176	170.8443843	605.1381654	-1.513561506	152	149.9120433	575.2250106	-0.889407009	143	144.3423545	42.51472842	0.33523987	130	130.2043302	4.214000194	0.483323123	174	163.8416779	1660.587925	-3.678105622	57	59.54127199	479.062911	0.269449855	176	170.8565629	601.7683297	-1.480396166	146	143.9986468	583.9363987	-0.740835844	0.834319527	0.850644909	0.69837638	0.842362323	0.847133758	0.86655665	0.861150107	0.726728835	0.814814815	0.812447806	0.80233045	1.173521377	0.844444444	0.858328786	0.857745204	0.99051877	0.940789474	0.951534787	2.22086235	-0.515666036	1	0.993848988	0.469680928	0.516517845	1.005780347	0.98545156	1.324309384	0.834954219	0.802816901	0.822338545	2.136718703	2.276936379	0.814814815	0.812505444	0.797858932	1.147813156	0.829545455	0.844877873	0.786843975	0.917114137
TE0003911	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TE0003912	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TE0003913	0.002434571	0.5477784	0.4473524	0.002434571	0.82105905	0.15155204	0.001825928	0.02678028	0.8971394	0.07364577	0.002434571	0.37127206	0.62446743	0.76993304	0.23006696	1	0	1	0.24832623	0.73158854	0.02008521	0.001825928	0.02678028	0.8971394	0.07364577	0.002434571	0.5209982	0.47474134	152	150.8660986	291.9772013	-0.713076956	136	136.1746805	315.580564	-0.44960887	185	183.7656726	277.8044942	-1.523894507	158	157.4887401	252.1731842	-1.099518836	149	148.4643944	35.14465434	-0.24431754	127	127.5368229	2.864590515	0.550114202	170	170.6457699	4.231185698	-0.450027988	67	65.98965307	342.3729909	-0.084021393	185	183.7656726	277.8044942	-1.523894507	152	152.102252	262.4715896	-0.844584995	0.944099379	0.983302534	0.267925726	0.74060743	0.925170068	0.970438226	0.386058625	0.546656262	0.943877551	0.976864263	0.302819008	1.082540375	0.94047619	0.978020776	0.314952679	0.969602966	1.006756757	1.001755543	1.273079885	0.823228564	0.9921875	0.993423157	0.197487181	0.610257024	1	1.091605205	0.00186682	0.155224949	1.063492063	0.994802154	1.144747148	-0.201883409	0.943877551	0.976864016	0.302818195	1.082544123	0.932515337	0.974238399	0.310391545	0.81554214
TE0003914	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
