SID	fissure_lbp1	fissure_lbp2	fissure_lbp3	fissure_lbp4	fissure_lbp5	fissure_hog1	fissure_hog2	fissure_hog3	fissure_hog4	fissure_hog5	fissure_contrast	fissure_dissimilarity	fissure_homogeneity	fissure_energy	fissure_correlation	fissure_entropy
TE0003905	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TE0003906	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TE0003907	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TE0003908	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TE0003909	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TE0003910	223	136	118	100	162	211748	567	60	6	1	2.279659556	0.075253178	0.995689227	0.99542126	0.508873322	6.40871629
TE0003911	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TE0003912	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TE0003913	577	229	220	199	422	252906	1078	19	4	9	3.352351967	0.113879829	0.992241076	0.991491302	0.265374422	5.934128553
TE0003914	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TE0003915	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TE0003916	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TE0003917	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TE0003918	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TE0003919	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TE0003920	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TE0003921	844	264	331	271	563	311701	1575	98	8	7	3.606844741	0.109348915	0.991608622	0.990476613	0.234864082	5.730899361
TE0003922	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TE0003923	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TE0003924	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TE0003925	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TE0003926	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TE0003927	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TE0003928	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TE0003929	549	177	186	150	383	337129	1025	64	28	10	2.606286951	0.069002109	0.994982707	0.994466903	0.059756225	5.511525798
TE0003930	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TE0003931	204	86	62	75	110	278551	453	27	14	0	1.513059701	0.037974898	0.997562259	0.997379588	0.028779384	5.496320519
TE0003932	361	120	168	127	211	271264	837	53	4	2	2.033638105	0.067998955	0.99549124	0.99513673	0.267590472	5.932604085
TE0003933	1104	317	377	285	822	242469	1683	114	26	4	3.864434718	0.15822581	0.987165135	0.985141001	0.267051622	5.651947829
TE0003934	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TE0003935	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TE0003936	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TE0003937	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TE0003938	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TE0003939	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TE0003940	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TE0003941	493	141	137	104	345	300227	1012	64	12	5	1.812829457	0.066426357	0.995146082	0.994705448	0.148615334	5.662495612
TE0003942	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TE0003943	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TE0003944	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TE0003945	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TE0003946	367	150	120	109	229	315393	931	47	13	2	1.492088689	0.054917712	0.996138563	0.995839472	0.134475354	5.732282693
TE0003947	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TE0003948	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TE0003949	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TE0003950	703	186	207	204	485	243001	1164	29	14	7	3.970789441	0.128514978	0.991308379	0.990523123	0.198744005	5.81819507
TE0003951	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TE0003952	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TE0003953	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TE0003954	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TE0003955	271	98	114	105	170	320894	556	31	4	4	1.278153846	0.04585348	0.997061656	0.996875466	0.160258748	5.832371029
TE0003956	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TE0003957	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TE0003958	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TE0003959	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TE0003960	448	142	165	126	255	239364	1113	82	5	6	2.882326101	0.095529343	0.99407448	0.993679946	0.24276386	6.039061086
TE0003961	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TE0003962	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TE0003963	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TE0003964	898	253	286	246	618	397546	1507	85	23	7	2.937990913	0.087380978	0.993428707	0.992667901	0.067296129	5.529536268
TE0003965	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TE0003966	397	156	122	120	205	325251	1185	132	12	12	1.917946064	0.06457363	0.996038274	0.995759317	0.084717653	5.861665576
TE0003967	1178	490	605	431	947	423317	1817	101	6	9	3.507641058	0.123905716	0.990149522	0.988907198	0.474416461	6.033528681
TE0003968	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TE0003969	469	126	121	99	282	193709	1010	71	4	11	3.347907819	0.101684885	0.993351417	0.992834634	0.133203762	5.770948179
TE0003970	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TE0003971	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TE0003972	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TE0003973	639	159	156	132	394	265549	1145	101	15	4	3.289972547	0.114703548	0.993318861	0.992861408	0.714701446	6.599909641
TE0003974	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TE0003975	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TE0003976	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TE0003977	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TE0003978	694	215	238	182	499	281962	1247	113	8	8	3.00956926	0.10058008	0.992447863	0.991677348	0.067714682	5.556367619
TE0003979	257	121	102	79	198	197593	638	53	3	1	2.151061027	0.067978638	0.99534943	0.994853694	0.515327034	5.930138881
TE0003980	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TE0003981	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TE0003982	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TE0003983	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TE0003984	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TE0003985	225	60	65	66	118	206091	551	58	8	4	1.721002368	0.05393176	0.996691175	0.996486833	0.413313987	6.057367764
TE0003986	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TE0003987	83	24	27	20	40	272119	224	35	18	7	0.989446505	0.020049908	0.99901341	0.998964581	0.015763541	5.67886428
TE0003988	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TE0003989	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TE0003990	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TE0003991	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TE0003992	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TE0003993	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TE0003994	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TE0003995	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TE0003996	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TE0003997	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TE0003998	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TE0003999	366	67	87	51	193	257356	673	30	4	3	1.690157565	0.055561551	0.996385831	0.996110345	0.091136539	5.715139902
TE0004000	1001	327	266	225	651	275137	1914	96	21	14	6.04398019	0.181118266	0.989016953	0.988197941	0.212046204	5.978247191
TE0004001	909	278	291	261	589	329294	1617	120	10	6	3.101736003	0.108745415	0.991644448	0.990868625	0.16250595	5.650858763
TE0004002	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TE0004003	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TE0004004	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TE0004005	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TE0004006	706	202	218	172	492	260643	1162	45	12	11	3.370022964	0.115068009	0.991891769	0.991172101	0.330290015	5.929594422
TE0004007	389	79	71	62	235	315175	619	77	26	3	1.834973516	0.044638558	0.996926877	0.99652779	0.031290069	5.437967568
TE0004008	838	201	257	235	559	235573	1462	104	12	17	4.240141738	0.141825852	0.989717467	0.988679669	0.048133754	5.559244259
TE0004009	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TE0004010	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TE0004011	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TE0004012	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TE0004013	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TE0004014	561	184	154	124	326	230142	1075	101	6	12	3.01938141	0.110161108	0.992764351	0.992292899	0.21412615	5.901496466
TE0004015	430	134	141	131	306	418808	896	106	7	6	1.183570594	0.046883228	0.996619187	0.996364363	0.211209824	5.781462775
TE0004016	1572	692	775	577	1157	333478	2374	117	14	5	7.761735096	0.256824947	0.982771208	0.981404782	0.432238383	6.210576273
TE0004017	597	158	145	138	356	283746	1223	133	11	7	2.968004338	0.085009531	0.994070612	0.993566389	0.115885376	5.699251291
TE0004018	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TE0004019	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TE0004020	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TE0004021	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TE0004022	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TE0004023	190	59	68	46	139	321120	325	40	4	0	0.976863791	0.0240996	0.998201332	0.997973178	0.022939073	5.325572952
TE0004024	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TE0004025	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TE0004026	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TE0004027	253	56	54	38	149	335356	534	74	22	2	1.080973138	0.031867029	0.997966307	0.997799495	0.22931363	5.87372663
TE0004028	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TE0004029	531	163	190	161	304	445798	1173	134	10	5	1.896134824	0.052053543	0.996291408	0.995879486	0.287548944	5.899640885
TE0004030	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TE0004031	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TE0004032	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TE0004033	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
