SID	fissure_cnnPC1	fissure_cnnPC2	fissure_cnnPC3	fissure_cnnPC4	fissure_cnnPC5	fissure_cnnPC6	fissure_cnnPC7	fissure_cnnPC8	fissure_cnnPC9	fissure_cnnPC10
TE0003905	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TE0003906	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TE0003907	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TE0003908	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TE0003909	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TE0003910	-4.7812934	7.7157702	20.274939	31.546015	6.3014927	-1.4390168	7.602379	-6.0995765	-8.558803	0.62147677
TE0003911	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TE0003912	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TE0003913	1.2289121	-8.380733	38.979343	-0.5549872	-7.01032	0.37743253	-4.4834046	-0.7160158	-6.189527	-0.95720816
TE0003914	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TE0003915	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TE0003916	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TE0003917	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TE0003918	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TE0003919	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TE0003920	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TE0003921	-5.6750655	-5.5519514	-10.605027	-5.1417227	-5.9303036	-14.858779	1.3675672	-19.087574	4.024836	1.2546943
TE0003922	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TE0003923	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TE0003924	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TE0003925	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TE0003926	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TE0003927	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TE0003928	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TE0003929	-18.590462	1.97492	-3.0240858	1.9936576	-1.4863646	-2.6918147	4.7690053	-9.399134	-2.4792745	5.679015
TE0003930	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TE0003931	-19.258242	-9.172398	-4.980177	3.9233558	8.469294	0.6355726	-10.335241	4.808096	1.3509685	-0.99925995
TE0003932	9.889808	10.978433	4.9052734	8.650152	-6.0381536	-5.15361	-13.231662	11.548024	-6.069884	-0.9159354
TE0003933	25.99151	-16.187765	2.5961573	-18.460943	14.341786	21.695177	-5.8136477	15.110465	4.3001385	4.7313886
TE0003934	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TE0003935	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TE0003936	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TE0003937	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TE0003938	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TE0003939	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TE0003940	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TE0003941	10.009051	-16.91748	-1.1867093	-7.6245666	0.070018694	5.548202	-18.00027	-13.419418	17.368692	4.8758016
TE0003942	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TE0003943	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
