SID	tooth_mk_lbp1	tooth_mk_lbp2	tooth_mk_lbp3	tooth_mk_lbp4	tooth_mk_lbp5	tooth_mk_hog1	tooth_mk_hog2	tooth_mk_hog3	tooth_mk_hog4	tooth_mk_hog5	tooth_mk_contrast	tooth_mk_dissimilarity	tooth_mk_homogeneity	tooth_mk_energy	tooth_mk_correlation	tooth_mk_entropy
TE0003905	3267	1639	2559	1096	2075	286096	2602	442	25	5	8.765373912	0.276119163	0.971303558	0.955967819	0.898298103	6.566571788
TE0003906	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TE0003907	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TE0003908	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TE0003909	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TE0003910	1909	1294	2322	1025	1657	209862	2248	264	7	1	5.650711054	0.224563672	0.969501586	0.95422506	0.838428621	6.263367818
TE0003911	2082	432	685	526	595	246224	1474	146	10	6	2.076655904	0.098820787	0.986486272	0.97912803	0.85442127	6.165044515
TE0003912	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TE0003913	1880	1094	1068	468	1073	252009	1884	117	4	2	2.965849042	0.154716228	0.97994412	0.97332823	0.864989913	6.346459405
TE0003914	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TE0003915	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TE0003916	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TE0003917	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TE0003918	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TE0003919	1851	180	882	652	721	299880	1267	160	8	5	1.816225113	0.082369897	0.988723229	0.982701737	0.889121447	6.288750934
TE0003920	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TE0003921	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TE0003922	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TE0003923	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TE0003924	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TE0003925	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TE0003926	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TE0003927	6169	2818	5008	2741	3190	341799	4605	550	40	10	8.177635175	0.315864528	0.95502549	0.931011013	0.894152704	6.547077734
TE0003928	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TE0003929	1611	1947	1311	136	495	336704	1342	204	4	2	3.353706434	0.116202472	0.985955848	0.980451799	0.888861144	6.613270698
TE0003930	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TE0003931	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TE0003932	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TE0003933	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TE0003934	1580	369	1233	915	1139	279797	1669	155	10	6	2.700113425	0.114699259	0.985090399	0.977779894	0.752163942	5.84386055
TE0003935	1246	1007	1746	624	659	329440	1401	189	12	5	5.183960504	0.143029364	0.985386398	0.980446005	0.868788278	6.766812909
TE0003936	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TE0003937	1498	1219	1835	1206	1027	207290	1877	199	12	7	10.14615151	0.313306307	0.969760683	0.961082814	0.851326713	6.814980653
TE0003938	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TE0003939	1326	847	1479	672	750	323398	1351	208	13	2	3.856490047	0.129725207	0.985784653	0.981144446	0.877515667	6.70466654
TE0003940	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TE0003941	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TE0003942	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TE0003943	1061	761	1202	414	916	330408	929	102	11	2	2.780913019	0.097650522	0.987975424	0.984263599	0.868799394	6.338206295
TE0003944	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TE0003945	2542	1421	2754	1175	1178	501520	2354	315	28	8	5.880736627	0.157608132	0.983613597	0.97802965	0.865267773	6.898157343
TE0003946	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TE0003947	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TE0003948	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TE0003949	2559	1221	1737	1083	1215	307822	2478	307	16	12	5.233472422	0.196426675	0.97753273	0.969411198	0.843553906	6.353089941
TE0003950	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TE0003951	1397	1170	1326	457	588	280441	1293	207	17	3	3.830512287	0.130354019	0.984686929	0.978775739	0.907036284	6.862537075
TE0003952	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TE0003953	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TE0003954	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TE0003955	1413	1116	1314	801	773	319919	1404	148	14	4	4.921413919	0.148857143	0.984594489	0.97959365	0.87349357	6.806706351
TE0003956	1446	235	1567	1182	935	407863	1472	187	6	8	2.590035197	0.094449253	0.988773562	0.984025891	0.884128353	6.644048302
TE0003957	651	107	1239	481	430	339382	708	102	6	2	1.968965517	0.065322972	0.992392267	0.9896067	0.909581271	6.712428087
TE0003958	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TE0003959	2125	296	1869	974	873	439202	1145	275	14	4	5.030256838	0.119080475	0.98791586	0.983197648	0.877157412	6.909645987
TE0003960	2350	1621	1823	1032	1634	238268	2087	182	26	7	7.988233581	0.288015145	0.969277267	0.957945018	0.850248972	6.340158568
TE0003961	1280	159	114	40	162	394993	552	59	0	0	0.348655427	0.016718807	0.997104689	0.994691529	0.95286497	6.580633881
TE0003962	3261	2164	2984	1229	1945	249598	3302	361	21	5	9.244590373	0.362450692	0.959348673	0.945433317	0.878754447	6.67249565
TE0003963	1522	867	2015	984	1452	227469	1710	193	14	6	3.769230769	0.178192247	0.975274675	0.964341113	0.917883539	6.491499901
TE0003964	3223	3212	4004	1586	2456	395457	3316	379	12	4	6.141294777	0.217551337	0.970434187	0.956574954	0.909189325	6.714368311
TE0003965	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TE0003966	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TE0003967	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TE0003968	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TE0003969	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TE0003970	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TE0003971	1102	226	814	854	536	219539	1091	172	2	2	2.510714683	0.107882851	0.985927776	0.980747261	0.892778079	6.36044679
TE0003972	2985	2533	4029	2798	1903	381527	3544	455	24	10	7.830269608	0.266216082	0.967462642	0.954580923	0.86702884	6.572032538
TE0003973	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TE0003974	2515	1408	2001	959	1773	229118	2271	256	6	9	7.167326337	0.269505247	0.969791779	0.955589157	0.854445957	6.264762599
TE0003975	1429	188	442	265	367	362698	716	110	4	0	0.809154792	0.036495543	0.99418463	0.991092527	0.904524799	6.436305102
