SID	tooth_mk_cnnPC1	tooth_mk_cnnPC2	tooth_mk_cnnPC3	tooth_mk_cnnPC4	tooth_mk_cnnPC5	tooth_mk_cnnPC6	tooth_mk_cnnPC7	tooth_mk_cnnPC8	tooth_mk_cnnPC9	tooth_mk_cnnPC10
TE0003905	-4.537631	-5.579484	-14.309593	-0.94913256	-8.391823	-4.2023954	7.2543416	9.71363	11.984671	4.670705
TE0003906	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TE0003907	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TE0003908	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TE0003909	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TE0003910	-54.48488	-1.4593773	-3.7944593	-0.18972087	3.8777668	4.6784797	-0.9749268	2.59944	0.22906533	1.4797058
TE0003911	-43.905933	-9.878223	2.7801409	-4.6248035	8.235731	3.790712	-2.8672998	-4.6511817	-2.7933848	2.7597642
TE0003912	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TE0003913	-23.339117	9.716283	2.8142073	11.238718	-8.078511	-3.2763784	0.20407562	-7.6420603	-2.2481403	4.7085576
TE0003914	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TE0003915	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TE0003916	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TE0003917	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TE0003918	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TE0003919	-11.223586	12.882474	3.7008874	-19.61073	9.93674	-10.907599	2.067483	4.2945065	-4.136844	-5.393838
TE0003920	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TE0003921	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TE0003922	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TE0003923	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TE0003924	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TE0003925	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TE0003926	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TE0003927	56.59584	12.675829	-11.438124	-1.6738878	4.5349154	10.735258	7.993264	0.9942159	-4.2852926	4.3933706
TE0003928	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TE0003929	-19.676935	-7.778162	4.215069	15.884622	-6.753353	-13.165992	-1.6905959	-0.28557852	-0.7185079	-0.06831227
TE0003930	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TE0003931	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TE0003932	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TE0003933	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TE0003934	-21.584528	-4.4850326	-0.13303436	-17.163513	3.7083912	9.935776	6.1954346	-4.204163	-7.1929274	-0.66284055
TE0003935	17.549803	-15.948712	-6.9510756	-2.0893257	-14.988204	-12.057965	-10.194838	1.6879988	-1.1036505	-2.2878966
TE0003936	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TE0003937	-15.777687	-15.621343	-30.939188	11.928784	3.8848557	-1.9805237	11.8788595	-1.279448	0.051230032	-2.8871522
TE0003938	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TE0003939	0.5785027	3.6159186	10.724548	-11.145125	14.44908	-2.4728527	-17.115728	0.27116418	1.1686624	5.0347066
TE0003940	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TE0003941	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TE0003942	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TE0003943	-27.153263	-8.6855135	-6.241051	14.62189	-0.9518239	-1.6103557	4.551693	2.2948	-2.08987	1.3227887
TE0003944	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TE0003945	30.367294	4.953143	-25.751406	-4.366039	8.320467	-7.894389	-4.355647	-12.480301	17.599703	7.2966123
TE0003946	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TE0003947	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
